No.,チャンネル名,所属,登録者数,最終投稿日,ゲーム動画率,日本語率,主なジャンル,自動判定,あなたの判定,チャンネルURL,直近タイトル例
1324,【公式】ドラゴンボールスーパーカードゲーム フュージョンワールド,,11000,2026-08-28,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCzAt5cfQhCIDfJ-aJwxDhrQ,CHAMPIONSHIP 26-27 WAVE2 エリア予選 3on3 東京大会【ドラゴンボールスーパーカードゲーム フ
1325,スーピー / Soopy【JP】,,10900,2026-08-28,0.7,1.0,アドベンチャー,残す,,https://www.youtube.com/channel/UCZDMkWu_CAUuJWJT7IHtmwA,【空の軌跡 the 2nd #3】第1章突入⚔️体験版！完全初見でナイトメア挑戦するぞ～！感動JRPGの続編プレイ✨【軌
1326,星園ゆい Hoshizono Yui,,10900,2026-08-29,0.75,1.0,,残す,,https://www.youtube.com/channel/UCK-Ijqv_rL0q4TDKPfZQz3A,【#ロードナイン】ギルドアリーナとギルドボス！ガルバナ地下水路も！「ヘレナ」完全初見！自分流MMORPG 「#LORDN
1327,ゆーやみ,,10800,2026-08-29,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCkfdTAFg_NbILL6BJgHmMtQ,天気のほこら晴れ ゲレゲレファング入りフルオート攻略 【ドラクエウォーク】 シャイニング
1328,ウラさんハタくんゲーム実況,,10700,2026-08-27,0.58,1.0,格闘,残す,,https://www.youtube.com/channel/UCdt1O-kNLwAkrrBXnbxtZ0w,【成功率0％】絶対飛ぶやん！激ムズ『立ちブレイクスパイラル』に挑んだら指がもげた！？【ガロスペ 】
1329,にんぶれ,,10700,2026-08-25,1.0,1.0,ストラテジー,残す,,https://www.youtube.com/channel/UCztFNqx12pouE4Tia8Wez4g,色んな場所で息を潜めて隠密シーン『デッドバイデイライト』
1330,リフレクションズ,,10700,2026-09-01,1.0,1.0,,残す,,https://www.youtube.com/channel/UCQkyey8pzFfmz0tbm2H0rzw,【雑談】臥牙丸1面間に合わなかった雑魚【モンスト】
1331,くどう丸,高田村,10700,2026-08-28,0.0,0.95,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCQlapFeHbCFogzZv34WlJrQ,【タケルのジンロー】ホイップどら焼き
1332,オバハン,,10600,2026-08-30,0.76,1.0,,残す,,https://www.youtube.com/channel/UC8iCnYBzZIK-hWUQt0TdyKQ,スト6リュウ　絶対に覚えたい入れ変えコンボ‼️
1333,かっつー,,10600,2026-09-04,0.05,1.0,,残す,,https://www.youtube.com/channel/UCnoLNmtw4ewIsFAOrSe5_pQ,ヒロアカ格ゲーにまさかの新モードが追加されたので遊んでみる　僕のヒーローアカデミア　All's Justice　ミニゲー
1334,FIGHTER チャンネル【TEKKEN】,,10600,2026-09-07,0.9,0.85,,残す,,https://www.youtube.com/channel/UCXv7kr-GlMb3cPhANWHy79w,【TEKKEN8】メンバー限定プレマ #76 ～視聴＆コメントはどなたでもOK！ 【鉄拳8】#鉄拳8#TEKKEN8
1335,ウマシカーズ,,10500,2026-08-26,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCBQgrXjE63aSb0JUnBd4wWQ,【1万人耐久】誰でも参加OK！クソデッキ対戦回 #デュエマ #クソデッキ #ライブ配信
1336,とある切り抜きch,,10500,2026-08-29,0.0,0.0,,外す（切り抜き）,,https://www.youtube.com/channel/UCfSdSv-hD9SX9FKSmtWfdeQ,
1337,イレブン【レトロゲームゆっくり実況】,,10500,2026-09-01,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UC8aKnUi9VeRToniivawDqCw,【三国志4】  1都市耐久縛り統一編！30年以上経過後からクリアを目指す（第六回）！スーパーファミコン【レトロゲームゆっ
1338,もんちゃんのゲーム実況チャンネル,,10400,2026-08-28,1.0,1.0,,残す,,https://www.youtube.com/channel/UC0kQ9dBA9UFS-QKlV4EXnaQ,【ドラゴンクエスト１１S】#30 CASINOで１点賭けして1000000ゴールドゲットした日💰初見プレイ☆過ぎ去りし時
1339,らみょん,,10400,2026-08-24,0.0,0.0,,要確認（長尺動画なし）,,https://www.youtube.com/channel/UCKVk_edPgh6F142JE3JlmqA,
1340,絶叫世界ランカーかたぱん!!,,10400,2026-08-28,0.67,1.0,インディー,残す,,https://www.youtube.com/channel/UCJ0n0nrmCUJ54RZexY3mk8A,【顔出し】事故物件を監視する仕事で呪われました。【日本事故物件監視協会3 -Japan Stigmatized Prop
1341,ループデプトのレトロゲーム部屋 /LOOPDEPT,,10400,2026-08-29,0.25,1.0,アドベンチャー,残す,,https://www.youtube.com/channel/UCoBj2aV7hwiwBfcg87-l4Qw,"【Steamオススメ】Cozy Marbles ビー玉コロコロ大作戦【1,200円♪買って良かった！】"
1342,カエルくんの積みゲーに負けない!【レトロゲーム実況】,,10400,2026-08-30,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCj44W26V0Q14o0Kz5e9qYGQ,【1時間で追体験】カエルの為に鐘は鳴る 丁寧解説に要約・快速攻略【レトロゲームゆっくり実況】
1343,ゆみちちゃんねる,,10300,2026-08-30,1.0,1.0,,残す,,https://www.youtube.com/channel/UC-hFtUua_1cvne6fQQ-a82A,ゆみちの太鼓配信！のんびりリクエスト配信です！ #179 #太鼓の達人
1344,うさぼく姉妹,,10300,2026-08-28,0.95,1.0,RPG,残す,,https://www.youtube.com/channel/UCBdp4YF75yiXZY9it0PLuLA,【ワケあり歌枠】夏企画！姉妹でカラオケ！！【女性実況】
1345,ホロライブ切り抜きランド,,10200,2026-08-28,0.0,0.0,,外す（切り抜き）,,https://www.youtube.com/channel/UCMzkgoVEa2va352-OEQTMeQ,
1346,淡雪 花奏(かなで),,10200,2026-08-28,0.12,1.0,RPG,残す,,https://www.youtube.com/channel/UCPUi4e7wnbhFdjsm3KqD3KA,【#雀魂 #段位戦 】玉の間段位戦❄No.498🍓❄️(760日連続配信中✌)【Vtuber/淡雪花奏/麻雀】
1347,MaruJP,,10200,2026-08-22,1.0,1.0,RTS,残す,,https://www.youtube.com/channel/UCUV0qF4B3ACG66guG4M8LJw,もう登録者1万人？【参加型配信/マイクラ統合版/HIVEサーバー/Minecraft/縦型配信】
1348,ゆっくり遊びBAR※レトロゲームメイン,,10200,2026-08-29,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCtAiTaO-m5ceKzJN_BQ9R2A,究極の世紀末ロープレ「道～TAO～」第1話
1349,ガロの鳥籠,,10100,2026-08-26,0.55,1.0,アクション（横スクロール）,残す,,https://www.youtube.com/channel/UCRoRJ13AvvXKer2l9kpEJKQ,【ホグワーツ・レガシー】＃２ 魔法学校で派手髪だから目立つなぁ／ガロガロリ
1350,れとろげぇむ　Gのすぽっと,,9990,2026-08-22,0.5,1.0,RPG,残す,,https://www.youtube.com/channel/UCTFbF5wriuhcFadtCS6Gkiw,【プレイステーション】#2   F1グランプリ　チーム運営シミュレーション1996　～亜久里チャレンジ～【レトロゲーム・
1351,馬小屋ねる子レトロゲームCh.,,9940,2026-08-28,0.2,1.0,ストラテジー,残す,,https://www.youtube.com/channel/UCtEo8RBhvAekmGwPtvHyDXw,【ゲームニュース】レトロゲームニュース＋α #251 (2026.8.29)【レトロゲーム/VTuber】
1352,りあぽう,,9910,2026-08-20,1.0,1.0,,残す,,https://www.youtube.com/channel/UC1WzbJqe8_l6ze2RM1gSDyg,【ホロドリ】魔改造された「ぽ」を攻略します。(無理)
1353,きゆあーるの音ゲーch,,9890,2026-08-28,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCSM98-BRQp0jSpeaFOOnaXA,【新曲】9月入ったぞ!!完全新曲ナムオリを最速プレイします!!【太鼓の達人ドンダフルフェスティバル】
1354,イボーン,亀戸組,9890,2026-08-26,0.4,1.0,アドベンチャー,残す,,https://www.youtube.com/channel/UCVIPahDPEhLnHcesp0LqW6g,田舎者の運転技術を舐めるな【妹に運転を教える Demo】
1355,AIUEO1789👍,,9800,2026-08-20,0.83,1.0,,残す,,https://www.youtube.com/channel/UCdcLnOHQgJSPoHj52PzaqLg,ホラーゲームをしましょう
1356,カンライ • 관뢰,,9780,2026-08-30,0.89,1.0,,残す,,https://www.youtube.com/channel/UCWXJgMlDWr_Wva00ri4IvLw,参加型配信!!【スプラ3】初見大歓迎の夕活配信‼︎X金バッチが欲しい！！
1357,眠瑠おみ,,9750,2026-08-28,0.3,1.0,アドベンチャー,残す,,https://www.youtube.com/channel/UC5vJ2BakG-yOhf4uzr83vhg,【雑談】ライブと太ももってやっぱりいいよね🐺💤【 新人Vtuber/眠瑠おみ】
1358,うるけいゲームチャンネル,,9740,2026-08-30,0.0,0.0,,要確認（長尺動画なし）,,https://www.youtube.com/channel/UCYgkqifdQ7qPBmP-N1mY6qg,
1359,ゆゆキチのレトロゲーム部屋,,9680,2026-09-01,0.12,1.0,アクション（横スクロール）,残す,,https://www.youtube.com/channel/UCbQGC_0RbpLAt0srsHQzIQA,海外のマクドナルドアクション「MC Kids」であそぼう！
1360,おしるこ忍者,,9600,2026-08-27,1.0,1.0,,残す,,https://www.youtube.com/channel/UCu3ez-MOXO_J3eo1zRmLv_g,【栄冠ナイン】最強捕手古田が3年間ホームランだけを狙う！合宿での優先度は？【パワプロ2026】
1361,Steven Thomas Gaming,,9560,2026-08-27,0.6,0.0,シミュレーション,外す（日本語の配信ではない）,,https://www.youtube.com/channel/UCkgtWFei1ds9niHkfKNbIow,Jinx Is Trying to STEAL Travis Kelce!!!! — Tomodachi Life: L
1362,びょう,,9520,2026-09-01,0.0,0.0,,要確認（長尺動画なし）,,https://www.youtube.com/channel/UCtYqLaL64wlHq3PR4k2336w,
1363,虹夢メゼフィル👑😈 -Mezefiru-,,9500,2026-08-28,0.8,1.0,,残す,,https://www.youtube.com/channel/UC75qPSvkGJWf_aliFFBJrPA,【青鬼2】ネットホラーの頂点！伝説と恐怖は終わらない
1364,史門 / Shimon ,,9490,2026-08-30,1.0,1.0,,残す,,https://www.youtube.com/channel/UCPceuZrm28gFBqBmmLjTooQ,【#おなつ休みARK 】初心者ARK ～ ボスに向けた最終準備 ～ Day9【ASA/ARK Survival Asce
1365,NoNICK,,9480,2026-08-22,1.0,1.0,,残す,,https://www.youtube.com/channel/UC_rT_MbN2KEZ4Yljp7_iDDw,【参加型配信】最大50人参加可能！HIVEのカスタムサーバーで色んなゲームを遊ぼう！【Minecraft統合版】
1366,うにどん★バカゲー実況チャンネル,,9410,2026-08-31,0.36,1.0,アクション（横スクロール）,残す,,https://www.youtube.com/channel/UCgoUpYYWxF0vDnaawI99Zxw,【バカゲー】木にボコボコにされるゲームがシュールすぎたｗｗ【Trees Hate You】
1367,GGSeppuku,,9400,2026-08-24,0.0,0.0,,要確認（長尺動画なし）,,https://www.youtube.com/channel/UCJnlvZaVJB6CzqtBwlXgR_A,
1368,ぽこあタウン koa,,9370,2026-08-27,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCE8quTaE-9uxif0JW4-5_Gg,【うみぞこの街】ハナダジム完成！元の建物を活かしてかわいくリメイク！
1369,にしうりのゆっくりちゃんねる,,9360,2026-08-15,0.95,1.0,,残す,,https://www.youtube.com/channel/UCeDh8co3WNDSVT4iVwnmoHg,【スト６】ヒジハラがァ！！【ゆっくり実況】
1370,心配性のコウらGames,,9340,2026-08-22,0.95,1.0,,残す,,https://www.youtube.com/channel/UC25DXPO2t0TFQY2m3UVP_Gg,【マイクラ:HIVE】新記録狙い!ベッドウォーズ連続勝利配信やる！ルールは概要欄に記載。【統合版】【Bed wars】
1371,HYDE Hakaioh,,9310,2026-08-27,0.95,1.0,,残す,,https://www.youtube.com/channel/UCHH9fKCeU3axdNwIljCBmcg,(TEKKEN8)12時くらいまでお鉄
1372,RENA-れな,,9310,2026-08-30,1.0,1.0,ストラテジー,残す,,https://www.youtube.com/channel/UCj3J11L0EjxvedOv6hmZHjg,【DBD】新キラージャッジメントとデススリンガーさん、逆だったかもしれねェ...【ゆっくり実況】
1373,オールコレクト酒井,,9190,2026-08-16,0.92,1.0,,残す,,https://www.youtube.com/channel/UC-MWY7ObnqlglfXVhrVH2ng,【君のコメントが運命を決める】わかってないけど勘でヤスミンマスターチャレンジ【スト6】
1374,すっちーるーむ,,9100,2026-08-28,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UC-QnczxMy1Kv_o_mtIJIl5g,【ぽこ あ ポケモン】#15  ～うきしまのポケセン完成！！～
1375,ぶいすぽ切り抜き,,9080,2026-08-30,0.0,0.0,,外す（切り抜き）,,https://www.youtube.com/channel/UCxxMQdUxMfCoH8L7zH4NVYA,
1376,りいすとあそぼ【切り抜き】,,9060,2026-08-29,0.0,0.0,,外す（切り抜き）,,https://www.youtube.com/channel/UCswbyU9etSxbt087QU26knA,
1377,あかるん / Akarun Ch.,,9040,2026-08-28,0.0,0.94,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCKKhVjuj4tg6cP5vacfkDsQ,〖 耐久/参加型 〗ch登録者数9000人耐久ッ！お誕生日365日集めます！〖あかるん/るみきゅー〗
1378,新山にーや　発売日順にファミコンクリアしていこう!!　新人Vtuber,,8940,2026-09-01,0.33,1.0,RPG,残す,,https://www.youtube.com/channel/UCLqpP87LC8e2VUVt7kWn_kw,【ウルティマ（Ultima） ～恐怖のエクソダス～】発売日順にファミコンクリアしていこう!!【#じゅんくり Part.3
1379,VBの間【バーチャルおばあちゃん / 五月雨空也切り抜き】,,8930,2026-08-26,0.0,0.0,,外す（切り抜き）,,https://www.youtube.com/channel/UC1X1fFRjmNVqwrww8myy-YQ,
1380,さぽてん / APEX解説,,8900,2026-09-06,1.0,1.0,シューター,残す,,https://www.youtube.com/channel/UCQnIxFF-_vMIzoCtv3GxSQw,地味だけど、この差が勝敗を分けます #ApexLegends #APEX #エーペックス #APEX解説
1381,まてぃ / M4texi,,8880,2026-08-28,1.0,1.0,,残す,,https://www.youtube.com/channel/UCgtH_bk7ehUCEJjOO7FIByg,アンチサイノウ APPEND Lv32 【プロセカ/ProjectSekai】【譜面メーカー】【プロセカ創作譜面】
1382,ゲームスT,,8840,2026-08-28,0.0,0.0,,要確認（長尺動画なし）,,https://www.youtube.com/channel/UCJi9sa-7OIDOyZd0fs78k5g,
1383,桃桜華はる -Momosaka Haru-,,8790,2026-09-01,0.95,1.0,RPG,残す,,https://www.youtube.com/channel/UCSAEWTE16xxPs1ZkEq6Zu4g,【配信/P5X初心者】有識者教えて！体育祭イベント進めていく！【ペルソナ5: The Phantom X】※ネタバレあり
1384,VTuber切り抜き / FLOW GLOW 推し,,8780,2026-08-31,0.0,0.0,,外す（切り抜き）,,https://www.youtube.com/channel/UCYUkz8HrBarYzRjw3O2OtEQ,
1385,昭和まさしの地味ゲー攻略チャンネル,,8770,2026-08-31,0.15,1.0,アドベンチャー,残す,,https://www.youtube.com/channel/UCY8oNKLo_fahTAkaamPwkPg,EP5 油断して仲間が死亡！水切れで聖母が逝く世紀末サバイバル｜Dustland Deliveryゆっくり実況
1386,清水勇輝 2ndチャンネル,,8730,2026-09-04,1.0,1.0,シューター,残す,,https://www.youtube.com/channel/UCwkL9RFbX7RE2JFsT5gKxww,【7 Days to Die】ギスギス7Daysで坂本に煽られるUK【加藤純一 / 布団ちゃん / こく兄 / 蛇足 /
1387,えびもりチャンネル,,8690,2026-08-28,1.0,1.0,ストラテジー,残す,,https://www.youtube.com/channel/UCrqADVorBt3nxYTDu09Hrmg,【DBD】ジャッジメントを”審判”する配信　本当にできれば救いたい
1388,アオイ,,8670,2026-08-29,1.0,1.0,,残す,,https://www.youtube.com/channel/UCY5uOhRWtuq84Xx4uWilxzw,【ブルーロックコラボ】お手軽ロマン砲！我牙丸吟使ってみた【モンスト】 #モンスターストライク #ゆっくり実況
1389,jobo the hobo,,8640,2026-08-16,0.58,0.0,アクション（横スクロール）,外す（日本語の配信ではない）,,https://www.youtube.com/channel/UCzCwZF2TgCjw5qSoC6rIDUg,Big Moments in Big Walk pt.2 #bigwalk #indiegame #indie #coo
1390,つむぎのフィギュア紹介ch,,8620,2026-08-28,0.06,1.0,ノベル,残す,,https://www.youtube.com/channel/UC7m_0WpCmafwB2brVGG9bmw,【7日目相場】一番くじ ドラゴンボールGT  相場 フィギュア 超サイヤ人4
1391,Kara,,8550,2026-08-30,0.05,1.0,,残す,,https://www.youtube.com/channel/UCyVTY8XnIe-rRM81ADy_Syw,神威鯖のPvP大会参加できないので一人でPvP大会の妄想をしながら練習します...
1392,ユウレイです,,8530,2026-08-28,1.0,1.0,,残す,,https://www.youtube.com/channel/UCH10qWQxBZbgh7kINzWNQrw,【ソロコンペ】あと23ポイントだけ盛らせてください；；※遅延あり【VALORANT】
1393,Kuu Ch. 朱舞くぅ,,8530,2026-09-01,0.5,1.0,アクション（横スクロール）,残す,,https://www.youtube.com/channel/UCwzTVj8dZArC7MHLCsOU4Vg,【幻水SP】バ火力ｗ最強キャラ引くべき？ハンフリー・フリック・ビクトール100連ガチャ＆性能解説＆ストーリー攻略【幻想水
1394,南瓜ぐてぃ with 西瓜@RPG ch.,,8470,2026-08-23,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UChBQnbt4SHY9LXrkSW3FoAg,【ゆっくり実況】SFC版 ファイナルファンタジー5 初見 #19【南瓜ぐてぃ】
1395,はいおくゆっくり実況,,8450,2026-08-23,0.11,1.0,RPG,残す,,https://www.youtube.com/channel/UCaU8OvkOs2sKsiw186n046A,【ゆっくり実況】BOF2絶対に覚えておきたい究極合体！【ブレス オブ ファイアII 使命の子】【スーパーファミコン】【攻
1396,TAIchannel,,8440,2026-08-31,1.0,1.0,シューター,残す,,https://www.youtube.com/channel/UCq9Bde_qzbXSX89YBH2Oq5Q,【APEX】参加型カジュアル／参加したい場合は固定コメント読んでね／主はウィングマン縛り『3809時間目』
1397,氷川つきチャンネル,,8420,2026-09-04,0.92,1.0,アクション（横スクロール）,残す,,https://www.youtube.com/channel/UCVXhVrY3Qn4iCbpxwilUShw,【スマブラSP参加型】さあ今日もガチで戦うぞ！汗できたぞ燃えるぞ！男の娘VTuberが逆VIP帯の練度・技術・技で勝つ！
1398,にゅう部【公認】,,8400,2026-08-28,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCzDL_y-YHy2DWzYdU3txgNA,【ドラケンヘアー披露】永野芽郁にがっつり共感するにゅう【2026.8.27】
1399,YOUDIEDちゃんねる,,8400,2026-09-06,1.0,1.0,,残す,,https://www.youtube.com/channel/UChNROwymlVmoxubw0O7C1vQ,【エルデンリング】新武器『レオティエルの大剣』ボスを瞬殺しまくる蹂躙ビルドのすべて！【ELDEN RING Tarnis
1400,みゃー【VRゲーム実況系VTuber】💫毎日23時3D配信,個人勢,8390,2026-08-24,1.0,1.0,シューター,残す,,https://www.youtube.com/channel/UCO82mqyfgAglfWWTcksZ7hw,VRゲーム実況【Wanderer】🕰️🌍VRタイムトラベル＃04
1401,じゅうえん,,8330,2026-08-31,0.0,0.0,,要確認（長尺動画なし）,,https://www.youtube.com/channel/UCrd6FSKQorgpUXaBlsEicYQ,
1402,たじろん,,8270,2026-08-29,1.0,1.0,シミュレーション,残す,,https://www.youtube.com/channel/UCX7Kcs87cpXrD9Z190RD9ng,【最強ベリンガム】50連以内で神引きできるのか？ #イーフト #efootball #ガチャ #神引き #ゲーム実況 #
1403,ぺいんと面白伝道師 / 切り抜き,,8260,2026-08-16,0.0,0.0,,外す（切り抜き）,,https://www.youtube.com/channel/UCa_2JWlpKHFlZS4qoZ3AOxQ,
1404,ぽりたんネオ,,8260,2026-08-30,0.0,0.0,,要確認（長尺動画なし）,,https://www.youtube.com/channel/UCBSHL4fVoXjcjcg7QeT8wuA,
1405,りかしぃ切り抜きch,,8250,2026-08-13,0.0,0.0,,外す（切り抜き）,,https://www.youtube.com/channel/UCp5SwXnh7sf9ahqtmsF3Ncg,
1406,ぽみ / Pomi,,8250,2026-09-04,0.3,1.0,シューター,残す,,https://www.youtube.com/channel/UCBSwm6lkDOKmrZUo_D3WX-Q,🌈💙# 338【 グランツーリスモ 7 】国体タイムアタック❣️ 雑談ウィークリー　アフタートーク雑談　楽しんで走るよ～
1407,赫-アカ-,,8140,2026-08-28,1.0,1.0,アドベンチャー,残す,,https://www.youtube.com/channel/UCbSDhBbe8TZMEyM_Ew1VR6A,遭難した雪山で呪われた村の秘密を掘り起こすホラーゲーム『雪葬-SNOWED UNDER-』
1408,こて太郎,,8090,2026-09-01,0.86,1.0,,残す,,https://www.youtube.com/channel/UC9D5pLR_dwe4fM7eRvKMsqg,【鬼畜】最終ステージまでマサムネに触れられない縛りをしたら想定外の結果になった件について【モンスト】
1409,CUTMAN【カットマン】,,8030,2026-08-27,1.0,1.0,RPG,残す,,https://www.youtube.com/channel/UCYi7i6oLyMa79Vms2LbN6Uw,【lol】ダリウス対面でEを無効化する距離感がこちら
1410,しょこらぁ。-chocolaa.ch-,,7980,2026-08-28,0.0,0.0,,要確認（長尺動画なし）,,https://www.youtube.com/channel/UCi0-M5AY22Y2-EL5-L6DO_Q,
1411,最終兵器俺達切り抜きch,実況グループ,7960,2021-11-30,0.1,1.0,,外す（切り抜き）,,https://www.youtube.com/channel/UC75jvw9SIk7WWW5xUDoSTNg,【最終兵器俺達】こーすけのことが大好きなキヨ
1412,つばちか!　ゲーム実況チャンネル,,7890,2026-09-06,1.0,1.0,RTS,残す,,https://www.youtube.com/channel/UCWPA354ftDi8uvfF7jG9pZQ,【PS】後発の格闘ゲームDOA・初回作のPS移植版をプレイするぞ【テクモ】
1413,たろちんDB,亀戸組,7890,2026-08-27,0.63,1.0,アドベンチャー,残す,,https://www.youtube.com/channel/UCVo6Q3T0sNzqV_bdYDVkyaw,【黄泉に落ちても麻雀】地獄麻雀では何をやってもよい
1414,【三間飛車】モックンのモクモク将棋実況,,7880,2026-08-28,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCwhkQSAInoWVFKSVoWJKDsg,ただ指します、将棋を指します【将棋ウォーズ】
1415,エスケーサブ配信者,,7870,2026-08-19,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCxTRT8WN2QTtTIpFpfeIx9w,お前クズルールでスナイプしといてそれは... #エスケー #スマブラsp
1416,ゆーまらすchスプラおにいさん,,7860,2026-08-28,1.0,1.0,,残す,,https://www.youtube.com/channel/UC2XN28IUEDPpb23H7G3240w,【全力逃亡】ジェットブーメランから逃げ切ったらとんでもないことになったんだがwww【スプラトゥーンレイダース】【スプラレ
1417,シムパパ,,7860,2026-08-28,0.95,1.0,シミュレーション,残す,,https://www.youtube.com/channel/UCAPOhQTxUeThTaKu81NStYw,＃06【Survival Log】Roop2回目 DAY2-5 死に戻った記憶を頼りに2回目に突入【ゲーム実況】
1418,世界平和CLIPS【MY切り抜き】,,7860,2026-08-30,0.17,1.0,シューター,外す（切り抜き）,,https://www.youtube.com/channel/UCkH32pYnfShvh6z7hnkzp5A,【神回】8時間沼ったAPEX耐久、ふぉい参戦で奇跡がｗｗｗ
1419,あかどらん,,7860,2026-09-02,0.6,1.0,,残す,,https://www.youtube.com/channel/UCqRI7kmIlNEm1XgohNcVbAw,【#エンドフィールド】絶対にすり抜けないティフォロスガチャ
1420,すきやきぼし,,7830,2026-08-27,1.0,1.0,,残す,,https://www.youtube.com/channel/UCDQIjpfFgKkWkgCYRVFYoqw,調子が悪い時は掘りを頑張る【ぷよぷよテトリス２】
1421,ぽてとちゃん。,,7800,2026-08-21,0.5,1.0,ポイントクリック,残す,,https://www.youtube.com/channel/UC37WqMm_OKSFCRMDxULtjjw,【感動】私ぽてとちゃんの視聴者さんが作った推理ゲーム『霧原探偵事務所』
1422,三本狂火,,7750,2026-09-01,1.0,1.0,,残す,,https://www.youtube.com/channel/UCxs80NFwmoemsoC3OxNjvrQ,【エルデンSW2】考察プレイ生配信004　TarnishedEditionを新素性で最初からプレイ！新登場アイテムは新た
1423,sozakura yunoa / 楚桜ゆのあ ch.,,7740,2026-08-28,0.45,1.0,シューター,残す,,https://www.youtube.com/channel/UCwkKu_ihRRMGdsexR0CuVvA,【飲酒雑談】8月末！すべり込む夏の晩酌！！【個人勢Vtuber/楚桜ゆのあ】
1424,くらげ【ゆっくり実況】,,7720,2026-08-21,0.05,1.0,パズル,残す,,https://www.youtube.com/channel/UC7gCqXq070jCFeouNGc3YIA,【BOMBANANA!】おふざけ爆弾解除係
1425,くろがねch,,7630,2026-08-29,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCNpwqmTF5AZHHU4Ok0THDMw,【ドラクエウォーク】ヘルプラネット攻略！伝説のあの防具で旧武器でもフルオート可能（天気のほこら雨）
1426,ながれ,,7600,2026-08-24,0.0,0.0,,要確認（長尺動画なし）,,https://www.youtube.com/channel/UCruhOE4OyrtIZWNLHTv-sAQ,
1427,ホビドワ,,7600,2026-09-06,0.67,1.0,アドベンチャー,残す,,https://www.youtube.com/channel/UCil0d39KU_H-R0kBTA_T4-w,【Divinum】実質2Dデビルメイクライ！空中で爽快コンボを叩きつけるアクションアドベンチャー【ボス戦まとめ 総集編】
1428,鳩乃はろん / Hatono Haron / 新人VTuber,,7580,2026-09-06,0.36,1.0,シミュレーション,残す,,https://www.youtube.com/channel/UC9dgc_ghDbuikORhWRxCoYQ,【雑談】復活の高知ファイナル！！！！！！！＋セントウルステークス反省会 【鳩乃はろん / #新人VTuber】
1429,らいふ,,7560,2026-09-03,1.0,0.65,アドベンチャー,残す,,https://www.youtube.com/channel/UC-9DCH-4cKm6g205JB8DuRw,【鬼武者 Way of the Sword / Onimusha: Way of the Sword 】初見実況配信！【
1430,スケパチ,,7540,2026-08-28,1.0,1.0,,残す,,https://www.youtube.com/channel/UCDKgEHgHKEQ6fqTm_u2-ilg,1分間超巨大クッパから逃げ切れ!!【大乱闘スマッシュブラザーズSP】#スマブラ #スマブラsp #最強キャラ #ラリー
1431,夏菜やまと-LoLカタリナ解説-,,7530,2026-08-28,0.0,0.0,,要確認（長尺動画なし）,,https://www.youtube.com/channel/UCINYAsNAhkwJItxjwbFoAWA,
1432,うにか,,7500,2026-09-04,0.32,1.0,アクション（横スクロール）,残す,,https://www.youtube.com/channel/UC98NzqvofaL638fEL9hu9eA,【鬼武者】Way of the Sword　初見プレイ 難易度剣戟に挑戦【マルチゲーム系Vtuber/うにか】【ネタバレ
1433,きょうき,,7490,2026-08-28,0.0,0.0,,要確認（長尺動画なし）,,https://www.youtube.com/channel/UC6Mf30bTZj2cXH9wmlcOCkw,
1434,和太鼓・法螺貝奏者　野中耀博,,7490,2026-09-06,0.0,0.0,,要確認（長尺動画なし）,,https://www.youtube.com/channel/UC_sZwkiw9gE1159mAcDG2eQ,
1435,のぶのゲーマー日記,,7390,2026-08-28,0.85,1.0,,残す,,https://www.youtube.com/channel/UC1lXp4j9uoq-_4SX9SggKdw,土曜の大会に向けて開眼スト6 #スト6
1436,アーカネ財団,,7390,2026-08-07,0.1,1.0,RTS,残す,,https://www.youtube.com/channel/UCVV8sCxdCyh3Nj6ouiFsUIg,【ゲーム制作日記】ダンジョン経営ゲームを作るで！【ボイスロイド実況】１８話
1437,Raid Shadow Legends / BSえーこりん,,7350,2026-08-29,0.94,1.0,RPG,残す,,https://www.youtube.com/channel/UCdE9ao4b0_aRnuEfaz3TWvg,レイドシャドウレジェンド ストーリー完全把握 映画感覚で観るこの動画一本に全収録 日本語字幕版 ※ネタバレあり【ダークフ
1438,aruka_ch_,,7340,2026-08-27,0.64,1.0,,残す,,https://www.youtube.com/channel/UC01lZajiwtd1LDzUkbEqogA,【スト6】金曜日！大会前だけどのじゃりたい！！【 #あるか絶叫中 #同時配信 】
